"filename", "language", "PostCSS", "TypeScript", "Markdown", "TypeScript JSX", "XML", "comment", "blank", "total"
"/home/nafiul-azam/lab_panel/src/features/orders/OrderReceptionPage.tsx", "TypeScript JSX", 0, 0, 0, 62, 0, 0, 2, 64
"/home/nafiul-azam/lab_panel/src/features/orders/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/orders/TestSelectionPage.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 2, 42
"/home/nafiul-azam/lab_panel/src/features/patient/PatientInputPage.tsx", "TypeScript JSX", 0, 0, 0, 169, 0, 0, 19, 188
"/home/nafiul-azam/lab_panel/src/features/patient/PatientSearchPage.tsx", "TypeScript JSX", 0, 0, 0, 30, 0, 0, 3, 33
"/home/nafiul-azam/lab_panel/src/features/patient/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/processing/ProcessingQueuePage.tsx", "TypeScript JSX", 0, 0, 0, 60, 0, 0, 13, 73
"/home/nafiul-azam/lab_panel/src/features/processing/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/profile/ProfileEditPage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"/home/nafiul-azam/lab_panel/src/features/profile/ProfilePage.tsx", "TypeScript JSX", 0, 0, 0, 22, 0, 0, 2, 24
"/home/nafiul-azam/lab_panel/src/features/profile/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/queue/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/queue/TokenQueuePage.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 4, 47
"/home/nafiul-azam/lab_panel/src/features/results/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/results/ResultEntryPage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"/home/nafiul-azam/lab_panel/src/features/review/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/review/SeniorReviewEditPage.tsx", "TypeScript JSX", 0, 0, 0, 101, 0, 0, 11, 112
"/home/nafiul-azam/lab_panel/src/features/review/SeniorReviewFullViewPage.tsx", "TypeScript JSX", 0, 0, 0, 84, 0, 0, 7, 91
"/home/nafiul-azam/lab_panel/src/features/review/SeniorReviewPage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"/home/nafiul-azam/lab_panel/src/features/sample/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/sample/SampleCollectionPage.tsx", "TypeScript JSX", 0, 0, 0, 13, 0, 0, 2, 15
"/home/nafiul-azam/lab_panel/src/features/settings/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/settings/SettingsPage.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 3, 37
"/home/nafiul-azam/lab_panel/src/features/staff/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/features/staff/StaffPerformancePage.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 2, 38
"/home/nafiul-azam/lab_panel/src/hooks/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 2, 5
"/home/nafiul-azam/lab_panel/src/index.css", "PostCSS", 55, 0, 0, 0, 0, 0, 11, 66
"/home/nafiul-azam/lab_panel/src/main.tsx", "TypeScript JSX", 0, 0, 0, 12, 0, 0, 2, 14
"/home/nafiul-azam/lab_panel/src/mock-api/README.md", "Markdown", 0, 0, 4, 0, 0, 0, 3, 7
"/home/nafiul-azam/lab_panel/src/store/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/store/useAppStore.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 5, 94
"/home/nafiul-azam/lab_panel/src/styles/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 2, 5
"/home/nafiul-azam/lab_panel/src/types/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/types/index.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 1, 2
"/home/nafiul-azam/lab_panel/src/types/lab.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 11, 105
"/home/nafiul-azam/lab_panel/src/utils/README.md", "Markdown", 0, 0, 16, 0, 0, 0, 6, 22
"/home/nafiul-azam/lab_panel/src/utils/cn.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 2, 7
"/home/nafiul-azam/lab_panel/src/utils/format.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 3, 8
"Total", "-", 213, 691, 480, 3262, 2, 0, 509, 5157
